CNPJ_CIA,DATA_INI,TICKER
95.426.862/0001-97,20/07/1977,BAUH3
95.426.862/0001-97,20/07/1977,BAUH4
08.312.229/0001-73,15/06/2007,EZTC3
00.924.429/0001-75,12/02/1996,VSPT3
00.924.429/0001-75,12/02/1996,VSPT4
22.266.175/0001-88,10/04/2007,FHER3
17.167.412/0001-13,20/07/1977,CRIV3
17.167.412/0001-13,20/07/1977,CRIV4
91.669.747/0001-92,20/07/1977,FNCN3
60.840.055/0001-31,14/12/2009,FLRY3
10.851.805/0001-00,01/03/2018,FLEX3
26.735.020/0001-02,04/02/2022,POWE3
88.610.126/0001-29,20/07/1977,FRAS3
01.545.826/0001-07,21/02/1997,GFSA3
08.764.621/0001-53,26/07/2007,GSHP3
08.764.621/0001-53,26/07/2007,GSHP3
33.611.500/0001-19,03/09/1980,GGBR3
33.611.500/0001-19,03/09/1980,GGBR4
10.440.482/0001-54,10/08/2021,GETT11
10.440.482/0001-54,10/08/2021,GETT3
10.440.482/0001-54,10/08/2021,GETT4
14.127.813/0001-51,13/05/2021,NINJ3
06.164.253/0001-87,09/06/2004,GOLL4
06.164.253/0001-87,09/06/2004,GOLL4
09.229.201/0001-30,20/04/2021,GGPS3
92.012.467/0001-70,31/01/1979,CGRA3
92.012.467/0001-70,31/01/1979,CGRA4
89.850.341/0001-60,26/10/2004,GRND3
10.285.590/0001-08,29/07/2020,SOMA3
24.990.777/0001-09,08/10/2020,GMAT3
24.990.777/0001-09,08/10/2020,GMAT3
13.217.485/0001-11,15/04/2019,SBFG3
08.402.943/0001-52,16/10/1958,GUAR3
30.540.991/0001-66,01/09/1988,HAGA3
30.540.991/0001-66,01/09/1988,HAGA4
05.197.443/0001-38,20/04/2018,HAPV3
05.197.443/0001-38,20/04/2018,HAPV3
14.785.152/0001-51,18/12/2020,HBRE3
49.263.189/0001-02,09/07/2007,HBOR3
92.749.225/0001-63,01/11/1968,HETA3
92.749.225/0001-63,01/11/1968,HETA4
12.648.327/0001-53,14/12/2011,HBSA3
